name,sector,size,density,slots,daily_respect,coordinate_x,coordinate_y,alliance,faction,fname,members,rank
FSF,6,3,2,22,56,3651.67,418.96,NA,49953,BoW - 4.20,31,Platinum
FSG,3,4,1,27,53,4290.5,1181.41,NA,0,,,
FTB,6,2,2,6,47,468.57,600.63,NA,0,,,
FTC,1,4,3,26,197,3214.17,2968.78,NA,0,,,
FTD,3,2,2,9,75,4274,1381.66,NA,7049,39th Street Healers,96,Platinum
FTE,7,4,2,27,53,6149.24,1507.58,NA,0,,,
FTF,7,4,1,29,26,4776.94,154.14,NA,0,,,
FTG,4,3,2,14,79,4844.67,3044,NA,15151,The ZOO,94,Platinum
FUB,7,4,2,25,53,157.02,384.92,NA,6895,Iron Rose Cartel,73,Gold
FUC,1,2,2,7,94,2994.54,2903,NA,0,,,
FUD,7,4,1,29,26,6214,1476.16,NA,0,,,
FUE,1,2,2,8,94,2668.67,1635.98,NA,16282,Nuclear Winter,99,Diamond
FUF,7,2,2,9,38,2079,253,Westworld,0,,,
FUG,4,5,3,29,158,4844.04,2453.34,NA,9517,OverWatch,79,Platinum
FVB,7,4,1,26,26,78.67,47.45,NA,7227,The Collective JTF,94,Platinum
FVC,7,4,2,26,53,2463.67,77.33,NA,28349,Dexter&#039;s Laboratory,92,Diamond
FVD,7,3,2,20,45,5939.33,1467.64,NA,0,,,
FVE,3,2,2,10,75,3233.72,1278.56,NA,0,,,
FVF,6,4,1,27,33,5169.56,271.9,NA,35840,Baby Champers,97,Gold
FVG,5,3,2,17,68,5342.33,2606.33,NA,0,,,
FWB,5,3,2,16,68,1047.04,3050.47,NA,0,,,
FWC,7,4,2,25,53,2864.33,258,Westworld,7652,Alley Cats,48,Platinum
FWD,5,3,2,15,68,5333.67,1483,NA,89,Catalysis,96,Diamond
FWE,2,3,1,15,51,2221.84,2058.72,NA,0,,,
FWF,3,3,1,22,45,3174.73,1150.16,NA,14052,NPO - Serenity,54,Bronze
FWG,6,4,2,28,66,5483,2774.33,NA,0,,,
FXB,5,3,2,18,68,951.75,2912.02,NA,0,,,
FXC,6,4,1,28,33,3283.03,460.79,NA,0,,,
FXD,7,3,2,18,45,6026.15,1561,NA,26043,War Crimes,19,Platinum
FXE,3,2,2,7,75,1614.33,2043.62,NA,0,,,
FXF,5,3,1,13,34,1184.1,931.86,NA,0,,,
FXG,5,1,2,5,45,5201.5,2459.92,NA,937,Sport Club,101,Platinum
FYB,5,4,1,27,39,938.59,2515.33,NA,0,,,
FYC,6,3,2,17,56,4122.01,436.67,NA,0,,,
FYD,2,3,2,23,101,2141.67,1614.33,NA,0,,,
FYE,3,3,2,19,90,1689.67,1760.74,NA,8384,Savage Plague,67,Platinum
FYF,6,5,1,30,38,5700.58,314.86,NA,0,,,
FYG,5,3,2,21,68,5424,2446,NA,937,Sport Club,101,Platinum
FZB,5,3,2,18,68,1184.83,2691.3,NA,0,,,
FZC,6,2,2,10,47,3505,526.33,NA,40334,Sentinels,36,Platinum
FZD,4,4,2,26,92,4740.59,1653,Crypto,0,,,
FZE,2,2,2,10,84,3898.08,1472.25,NA,10960,Wolverines Health Org,72,Unranked
FZF,7,4,1,24,26,6144.92,449.24,NA,18420,The Black Knights,52,Silver
FZG,7,2,2,10,38,5912.35,2773.66,NA,0,,,
GAA,7,2,2,9,38,318,494.67,NA,9524,|HT|,96,Diamond
GAB,4,3,1,23,39,1540.11,2543.46,NA,0,,,
GAC,5,3,2,23,68,5255,656.33,NA,8285,Get Stuffed,89,Unranked
GAD,2,3,2,24,101,3994.2,1686.37,NA,231,Destructive Anomaly,92,Diamond
GAE,5,3,2,21,68,5075.39,1585.69,NA,0,,,
GAF,6,3,1,15,28,723.42,1539.58,JFK,16120,WarDogs CM,23,Unranked
GAG,4,2,2,7,66,4741.08,3010.42,NA,0,,,
GBA,5,3,2,19,68,1643.67,646,Westworld,51708,Tribunal Global Network,25,Silver
GBB,7,3,1,19,23,393.58,1455.59,JFK,42435,Nub Army,54,Platinum
GBC,5,3,2,19,68,5290,700,NA,0,,,
GBD,2,3,2,23,101,4157,1713,NA,16312,39th Street Killers X,98,Diamond
GBE,5,3,3,22,101,5245.39,2026.64,Crypto,9305,Legitimate Business,93,Platinum
GBF,1,3,2,15,113,2431.22,2191.32,NA,0,,,
GCA,4,3,2,17,79,1495.67,858.33,Westworld,0,,,
GCB,7,3,1,18,23,151.45,1754.56,NA,8677,Mana,35,Platinum
GCC,5,4,2,28,79,3982.33,798,NA,0,,,
GCD,4,2,2,7,66,4670.33,1744,NA,0,,,
GCE,4,3,2,19,79,1222,1592.33,NA,40399,WIT-Mayhem,88,Gold
GCF,2,3,2,12,101,3929.29,2175.04,NA,8706,Carbon,97,Diamond
GCG,6,3,2,12,56,735.95,1177.37,NA,42650,The Night’s Watch,73,Gold
GDA,5,3,2,12,68,877.67,1217.04,Westworld,0,,,
GDB,7,3,1,15,23,309.69,1769,NA,0,,,
GDC,4,2,2,10,66,3856.65,807.67,NA,25001,The Red Knights,96,Platinum
GDD,7,4,2,24,53,6190.67,1815.67,NA,0,,,
GDE,5,3,2,21,68,5388.72,1841.67,NA,0,,,
GDF,2,5,3,30,203,3926.45,2350.95,Crypto,8706,Carbon,97,Diamond
GDG,5,2,2,9,56,824.67,2796.5,NA,0,,,
GEA,5,3,2,12,68,1076.05,2121.63,NA,36693,S.W.A.T Academy,44,Platinum
GEB,4,2,2,8,66,1381.67,2300.34,NA,0,,,
GEC,4,3,2,21,79,4816.67,872,NA,15929,The Inquisition,81,Platinum
GED,1,2,2,9,94,2579,1851.67,NA,12094,Nuclear Fusion,79,Diamond
GEE,2,3,2,11,101,2662,1595.67,NA,0,,,
GEF,2,3,1,15,51,2976.33,1523.06,NA,0,,,
GFA,5,3,2,16,68,913.34,2282.41,Westworld,13851,Nuclear Therapy,98,Platinum
GFB,4,1,2,5,53,1291.3,2250.32,NA,15222,Mortiferi,48,Platinum
GFC,5,3,2,14,68,5436.67,889,NA,0,,,
GFD,3,1,1,5,30,1611.67,1893.67,NA,0,,,
GFE,2,3,2,12,101,2322.2,1921.83,NA,18736,Monarch Research,100,Diamond
GFF,1,4,2,29,131,3221.09,2101.21,NA,0,,,
GFG,7,3,1,23,23,3793.4,218.9,NA,0,,,
GGA,7,2,2,10,38,339.67,2601,Westworld,0,,,
GGB,3,3,2,19,90,1965.71,2690.9,NA,36891,FLATLINE,88,Platinum
GGC,4,4,2,25,92,4045.67,941.09,NA,0,,,
GGD,3,2,2,8,75,4290.67,1941.67,Crypto,0,,,
GGE,4,4,2,26,92,1987.46,1004.94,NA,31764,39th Street Warriors,99,Platinum
GGF,6,3,2,19,56,513.06,889.4,Westworld,40774,Pennywise Clown Posse,91,Gold
GHA,4,2,2,10,66,1539.72,2787,NA,0,,,
GHB,3,3,2,16,90,1908.67,2479.33,Westworld,0,,,
GHC,4,3,2,21,79,3703,982,Crypto,12255,Imperial MediHaven,82,Bronze
GHD,3,3,2,23,90,4475.67,2022.33,Crypto,0,,,
GHE,4,3,2,20,79,1279.5,1876.77,NA,0,,,
GHF,6,3,2,19,56,685.86,760.44,Westworld,14581,Project Nimbus,72,Platinum
GIA,6,3,2,15,56,468.42,2993.95,Westworld,11796,SMTH - Bright Summit,90,Diamond
GIB,3,4,2,25,105,1960,2480.26,NA,0,,,
GIC,4,4,2,26,92,1843,1047.74,Westworld,31764,39th Street Warriors,99,Platinum
GID,2,2,2,9,84,2034.33,2106.33,NA,7835,Monarch Mutation,92,Diamond
GIE,3,3,2,15,90,1675.99,2027.67,NA,0,,,
GJA,7,2,2,7,38,45,2842.33,NA,7115,Republic Of Futuria,62,Platinum
GJB,4,3,2,16,79,2026.5,843.08,NA,14821,JFK - Future Killers,78,Diamond
GJC,3,3,2,23,90,4122.33,1094.34,Crypto,0,,,
GJD,4,3,2,20,79,4847,2190.67,NA,7197,HeLa,86,Unranked
GJE,2,4,2,27,118,3310.64,1562.33,NS,42125,ODB,95,Diamond
GJF,4,4,1,25,46,4421.65,1038.33,NA,0,,,
GKA,7,3,2,14,45,300.33,2928.58,Westworld,0,,,
GKB,6,3,2,14,56,701.65,2509.08,Westworld,17133,Torn Medical,95,Silver
GKC,5,3,2,15,68,1017.67,1103.33,NA,0,,,
GKD,2,3,1,21,51,4180.27,2293.23,Crypto,0,,,
GKE,3,3,2,14,90,4435.33,1803.3,NA,16628,Chain Reaction,97,Diamond
GKF,6,3,3,16,84,441.59,3059.67,Westworld,0,,,
GLA,7,3,1,20,23,313.94,2464.89,Westworld,0,,,
GLB,6,1,1,6,19,766.08,3012,NA,0,,,
GLC,3,3,2,14,90,4488.02,1152,NA,21526,NS Bomb Shelter,100,Bronze
GLD,5,2,2,8,56,5122.33,2330.23,NA,0,,,
GLE,5,4,2,28,79,3526.92,666.08,NA,0,,,
GLF,6,4,2,25,66,637.41,2122.58,NA,9420,Band of Brothers,49,Gold
GMA,7,2,1,7,19,224.42,1901.33,NA,8255,Requiem,61,Gold
GMC,4,2,2,7,66,1583.33,1183.73,NA,0,,,
GMD,2,2,2,10,84,3996.55,2475.67,NA,8520,Xenon,95,Diamond
GME,3,5,2,30,120,2028,1313,NA,0,,,
GMF,5,3,3,14,101,1166.33,2478.69,NA,42671,The Hellfire Club,65,Gold
GNB,6,3,1,21,28,547.96,2217.71,NA,8795,The Brotherhood of Battle,77,Gold
GNC,4,3,2,12,79,1304.15,3054.88,NA,14760,Dopeheads on Mopeds,69,Silver
GND,3,3,2,12,90,3227.03,1218,NA,0,,,
GNE,4,4,1,26,46,3806.5,869.67,Crypto,0,,,
GNF,7,3,1,16,23,5199.33,70.11,NA,11376,Also Impulse,90,Gold
GNG,3,1,2,5,60,1946,3143.41,NA,0,,,
GOB,7,3,2,14,45,322.86,2909.63,Westworld,0,,,
GOC,4,2,2,9,66,1486.02,3184.59,NA,14760,Dopeheads on Mopeds,69,Silver
GOD,4,4,2,26,92,1320.33,1274.33,Westworld,30009,White Rabbits,97,Platinum
GOE,4,4,1,27,46,4882.9,1893.12,Crypto,0,,,
GOF,5,3,2,20,68,5080.52,2322.33,Crypto,937,Sport Club,101,Platinum
GPB,6,3,2,12,56,431.13,2524.25,Westworld,0,,,
GPC,5,4,1,27,39,918.26,3174.84,NA,0,,,
GPD,3,3,2,12,90,3555.33,1263.33,NA,10820,Lithium,82,Diamond
GPE,5,2,2,8,56,2085.75,598.5,NA,51926,Inglorious Basterds,24,Platinum
GPF,2,4,2,24,118,4116.22,2625.89,NA,0,,,
GPG,6,3,2,18,56,603.45,2389.22,NA,8954,Nuclear Armageddon,95,Diamond
GQC,3,2,2,9,75,1751.94,3109.42,NA,0,,,
GQD,3,2,2,9,75,3113.33,1280.34,Crypto,0,,,
GQF,7,4,1,26,26,1912.98,36.78,NA,0,,,
GQG,4,3,2,13,79,1590.78,3201.71,NA,9356,SMTH - Party Animals,96,Platinum
GRB,6,3,2,13,56,557.31,2696.53,NA,37426,Monarch Embassy,35,Platinum
GRC,1,4,2,28,131,3175.79,2193.54,NA,12893,Darkline,86,Diamond
GRD,2,3,2,16,101,2537.67,1332.33,NA,0,,,
GRE,7,4,2,25,53,2618,207.67,NA,9953,The Drunk Tank,64,Platinum
GRF,7,4,1,25,26,3145.43,88.94,Westworld,525,Ministry of Mayhem,90,Platinum
GRG,1,3,2,14,113,2781.33,2804.61,NA,0,,,
GSB,5,3,2,22,68,982.77,1953,NA,0,,,
GSC,1,3,1,13,56,3546.67,3243.67,NA,0,,,
GSD,2,3,2,17,101,3829,1374.33,NA,22781,The Wolverines,101,Diamond
GSE,6,4,2,27,66,3441.33,465.88,Westworld,0,,,
GSF,6,2,2,11,47,3596.44,413.72,Westworld,49953,BoW - 4.20,31,Platinum
GSG,5,5,3,29,135,5040.76,717.46,NA,0,,,
GTB,7,2,2,7,38,320,569.33,NA,0,,,
GTC,1,3,2,11,113,3150.33,2994.33,NA,0,,,
GTD,2,2,2,11,84,3001,1388.33,NA,0,,,
GTE,7,3,2,17,45,6035,1704.8,NA,0,,,
GTF,7,5,1,29,30,4735.57,246.03,NA,0,,,
GTG,4,3,2,18,79,4896.33,3078,NA,15151,The ZOO,94,Platinum
GUB,7,4,2,28,53,221.64,415.34,NA,6895,Iron Rose Cartel,73,Gold
GUC,1,2,2,9,94,3051.9,2924,NA,0,,,
GUD,3,4,1,26,53,1845.33,1466.33,NA,0,,,
GUF,7,2,1,7,19,2092.67,257.33,NA,0,,,
GUG,2,4,2,28,118,4214.03,2453.44,NA,10566,The Rifle Company,56,Platinum
GVB,7,4,1,25,26,173.33,51.55,NA,7227,The Collective JTF,94,Platinum
GVC,7,4,2,26,53,2746,165.49,NA,7652,Alley Cats,48,Platinum
GVD,2,3,2,24,101,3078.33,1482,NA,0,,,
GVE,3,3,2,16,90,3178.56,1287.11,Crypto,40992,Medic!!,97,Diamond
GVF,7,4,1,28,26,5286.54,135.03,NA,8811,Impulse 13!,79,Gold
GVG,2,4,2,29,118,4240,2646.33,NA,0,,,
GWB,5,3,2,15,68,1114.67,3053.65,NA,0,,,
GWC,7,3,2,11,45,2285,233.33,NA,38668,Valhalla - Barna,94,Bronze
GWD,5,2,1,9,28,5353.67,1508.33,NA,89,Catalysis,96,Diamond
GWE,2,3,2,20,101,2021,1862.33,NA,0,,,
GWF,3,3,1,18,45,3076.12,1110.68,NA,14052,NPO - Serenity,54,Bronze
GWG,4,4,2,25,92,4904,2806.67,Crypto,0,,,
GXB,5,3,2,14,68,983.45,2996.17,NA,11522,Droogs,79,Unranked
GXC,6,4,1,25,33,3196.9,422.19,NA,0,,,
GXD,5,2,2,10,56,1055.66,1540.33,NA,40399,WIT-Mayhem,88,Gold
GXE,3,3,2,17,90,1609.42,2000.85,NA,0,,,
GXF,5,3,1,21,34,1116.83,892.33,NA,0,,,
GXG,5,1,2,5,45,5208.5,2448.29,NA,937,Sport Club,101,Platinum
GYB,5,3,2,20,68,844.67,2546,NA,39549,Good Guys,50,Gold
GYC,6,2,2,11,47,2534,445.33,NA,0,,,
GYD,3,3,2,12,90,4634.33,1596.67,Crypto,0,,,
GYE,3,3,2,20,90,1661.89,1728.16,NA,8384,Savage Plague,67,Platinum
GYF,6,4,1,25,33,5795.76,286.92,NA,0,,,
GYG,6,2,2,9,47,5469,2474.66,NA,8317,Naughty Souls,80,Diamond
GZB,4,3,2,16,79,1293.71,2725.08,NA,0,,,
GZC,5,3,2,13,68,2932.2,547.67,NA,35776,IA Black,50,Platinum
GZD,2,3,2,18,101,2222.33,1640.67,NA,0,,,
GZE,2,3,2,14,101,3937.75,1470.92,NA,10960,Wolverines Health Org,72,Unranked
GZF,7,4,1,26,26,6075.8,413.25,NA,9503,TSFTS Microbrewery,37,Platinum
GZG,7,3,2,24,45,5868.33,2715.33,NA,0,,,
HAA,6,3,2,15,56,484,570.7,NA,10140,In Memory of the Fallen,81,Platinum
HAB,4,4,2,27,92,1200.05,2421.21,NA,0,,,
HAC,5,3,2,13,68,1931,635.33,NA,14821,JFK - Future Killers,78,Diamond
HAD,7,2,2,8,38,5872.33,1664.67,NA,26043,War Crimes,19,Platinum
HAE,4,2,2,6,66,5048.44,1557.94,NA,0,,,
HAF,6,2,1,10,23,754.84,1593.5,JFK,42685,WarDogs Outpost,39,Platinum
HAG,4,2,1,7,33,4802.17,3006.25,NA,0,,,
HBA,5,1,2,6,45,1617.33,704.33,NA,51708,Tribunal Global Network,25,Silver
HBB,7,2,1,8,19,397.17,1489.33,JFK,42435,Nub Army,54,Platinum
HBC,5,4,2,27,79,4027,741.33,NA,0,,,
HBD,3,3,2,15,90,4622.67,1707.33,NA,5431,[Redacted],59,Platinum
HBE,5,3,2,19,68,5064.55,1902.24,NA,22295,Aquarius,92,Diamond
HBF,1,2,2,10,94,2465.94,2193.38,NA,0,,,
HCA,4,3,2,11,79,1817.68,859,NA,0,,,
HCB,7,3,1,19,23,250.22,1772.55,NA,41363,WIT-Revolution,54,Silver
HCC,5,3,2,15,68,4169.67,777,NA,0,,,
HCD,1,3,2,11,113,3032.33,1754.33,NA,0,,,
HCE,4,2,2,8,66,1204.7,1609.42,NA,40399,WIT-Mayhem,88,Gold
HCF,2,3,2,16,101,3950.13,2150.19,NA,8706,Carbon,97,Diamond
HCG,6,3,2,20,56,525.33,1177.06,Westworld,42650,The Night’s Watch,73,Gold
HDA,6,2,1,10,23,621.35,1207.05,NA,0,,,
HDB,7,2,1,9,19,351.67,1776.42,NA,0,,,
HDC,6,5,1,30,38,5739.59,897.67,NA,18090,REK&morty,12,Gold
HDD,7,2,2,8,38,6004.14,1790,NA,0,,,
HDE,6,3,2,21,56,5485.17,1889.67,Crypto,0,,,
HDF,1,4,1,28,66,3807.36,2360.77,Crypto,46666,Fluffy Kittens Inc.,42,Platinum
HDG,3,1,2,5,60,1678.83,1859.46,NA,0,,,
HEA,5,2,2,7,56,959.02,2097.33,NA,49147,Gladiators,21,Gold
HEB,4,1,2,5,53,1377,2281.54,NA,0,,,
HEC,4,4,2,27,92,4737,886.33,NA,25025,DP Warriors,100,Diamond
HED,3,3,2,12,90,4538,1859,NA,9689,Deja,87,Platinum
HEE,1,2,1,7,47,2620.33,1613.11,NS,0,,,
HEF,2,4,2,25,118,2959.67,1441.37,NS,0,,,
HFA,5,3,2,17,68,959.64,2303.79,Westworld,36693,S.W.A.T Academy,44,Platinum
HFB,3,3,2,16,90,1806.33,2873,NA,36891,FLATLINE,88,Platinum
HFC,4,3,2,23,79,3712.67,904,Crypto,0,,,
HFD,2,3,2,24,101,4041,1924,NA,9533,Natural Selection,100,Diamond
HFE,2,3,2,20,101,2295.13,1926.58,NS,18736,Monarch Research,100,Diamond
HFF,7,3,1,13,23,274,1124.67,NA,0,,,
HGA,4,3,2,16,79,1424.67,2640.72,NA,0,,,
HGB,3,3,2,18,90,1974.33,2658.11,NA,7709,Vulpes Vulpes,96,Diamond
HGC,4,5,2,29,105,3715.01,977.33,Crypto,0,,,
HGD,2,4,2,27,118,2027.33,1968,NA,0,,,
HGE,4,4,2,26,92,2049.5,1020.58,NA,29865,WTF Ducks,97,Platinum
HGF,6,4,2,25,66,581.71,952.76,Westworld,8500,Extinction,100,Platinum
HHA,5,3,2,13,68,1161,2829.34,NA,0,,,
HHB,3,2,2,8,75,1868,2478.33,NA,0,,,
HHC,4,3,2,19,79,4810.33,987.33,NA,15929,The Inquisition,81,Platinum
HHD,5,3,2,20,68,5156,2024.33,Crypto,0,,,
HHE,4,3,2,20,79,1466.91,1658,Westworld,0,,,
HHF,6,3,2,19,56,657.55,759.61,Westworld,14581,Project Nimbus,72,Platinum
HIA,7,3,2,12,45,340.67,2989.33,Westworld,15286,Luscious Nightmares,81,Gold
HIB,2,3,2,13,101,2015.55,2530.14,NA,0,,,
HIC,5,4,2,25,79,5366,1054.33,NA,13665,PT-Penguins,86,Diamond
HID,2,3,2,13,101,4241.67,2110,Crypto,230,PT-Family,91,Diamond
HIE,3,3,1,13,45,1691.27,2083.33,NA,0,,,
HJA,7,2,2,7,38,16.67,2826.33,NA,41234,Peaky CS,39,Platinum
HJB,4,3,2,12,79,2076.21,816.21,NA,8076,Order Through Chaos,93,Diamond
HJC,3,3,2,20,90,2918.33,1086.67,NA,0,,,
HJD,3,3,2,12,90,4329.33,2177.67,Crypto,230,PT-Family,91,Diamond
HJE,3,4,2,28,105,2801.93,1269.5,NS,1149,WTF,95,Diamond
HJF,5,4,1,26,39,3317.25,780.57,NA,0,,,
HKA,7,3,2,15,45,319.02,3031.74,NA,0,,,
HKB,6,1,2,5,38,701.71,2546.29,NA,20211,CR-ACK,55,Silver
HKC,6,3,2,16,56,5520.66,1107.74,NA,0,,,
HKD,3,2,2,8,75,4373,2287.33,Crypto,0,,,
HKE,3,1,2,6,60,4428.72,1791.44,NA,16628,Chain Reaction,97,Diamond
HKF,6,2,1,9,23,786.32,1897.67,NA,0,,,
HLA,7,3,1,16,23,93.18,2596.97,NA,0,,,
HLB,5,2,2,8,56,834.13,2992.74,NA,0,,,
HLC,3,5,2,30,120,4598,1183.33,NA,15929,The Inquisition,81,Platinum
HLD,4,3,2,19,79,4691,2347.11,NA,0,,,
HLE,5,4,2,26,79,3546.61,701.44,NA,0,,,
HLF,6,5,2,30,75,613.23,2015.62,Westworld,9420,Band of Brothers,49,Gold
HMA,7,3,1,13,23,213.17,1925.17,NA,8255,Requiem,61,Gold
HMC,4,2,2,9,66,1560.33,1182.33,NA,0,,,
HMD,2,1,2,5,68,4110.67,2472,NA,10566,The Rifle Company,56,Platinum
HME,2,5,2,30,135,2268.91,1450.4,NA,0,,,
HMF,5,2,1,8,28,1182.79,2498.16,NA,0,,,
HNB,6,4,1,27,33,462.5,2282.54,NA,8795,The Brotherhood of Battle,77,Gold
HNC,4,3,1,12,39,1339.78,3076.29,NA,0,,,
HND,6,3,2,19,56,5705.33,1229.33,NA,0,,,
HNE,4,4,1,26,46,4990.92,998.41,NA,0,,,
HNF,7,3,1,21,23,5539.11,22.67,NA,2736,Itsi Bitsi Bikini,94,Platinum
HNG,2,3,2,21,101,2092.63,2599.46,NA,0,,,
HOB,7,3,2,16,45,238.62,2795.67,Westworld,0,,,
HOC,4,2,2,10,66,1423.21,3303.55,NA,9356,SMTH - Party Animals,96,Platinum
HOD,3,3,2,21,90,3728.67,1252,NA,231,Destructive Anomaly,92,Diamond
HOE,4,4,1,26,46,4977.73,1942.98,NA,0,,,
HOF,5,3,2,20,68,5303.61,1950.77,NA,89,Catalysis,96,Diamond
HPB,6,3,2,23,56,418.35,2568.67,Westworld,0,,,
HPC,5,3,1,18,34,1010.21,3148.11,NA,0,,,
HPD,3,3,2,17,90,3173.67,1267,Crypto,10820,Lithium,82,Diamond
HPE,6,3,2,21,56,2148.92,531.67,Westworld,21234,Underground Nation,80,Platinum
HPF,2,3,2,16,101,4125.89,2579.45,NA,0,,,
HPG,5,4,2,28,79,884.92,1974.17,NA,41929,Valor,95,Diamond
HQB,6,2,2,9,47,695.75,2859.11,NA,21028,Nuclear Clinic,100,Unranked
HQC,3,2,2,6,75,1765.25,3128.09,NA,0,,,
HQD,4,3,2,20,79,1545.33,1300.67,NA,0,,,
HQF,7,4,1,26,26,1826,33.45,NA,0,,,
HQG,4,2,2,8,66,1550.83,2931.17,NA,27902,SMTH - Concord,95,Platinum
HRB,5,2,2,10,56,829.75,2707,NA,21028,Nuclear Clinic,100,Unranked
HRC,1,3,2,19,113,3157.51,2260.77,NA,12893,Darkline,86,Diamond
HRD,2,3,2,13,101,3226,1332.33,Crypto,0,,,
HRE,7,2,2,7,38,2667,155.39,NA,9953,The Drunk Tank,64,Platinum
HRF,7,4,1,27,26,3223.44,41.16,NA,525,Ministry of Mayhem,90,Platinum
HRG,1,3,2,14,113,2813.45,2895.19,NA,0,,,
HSB,5,3,2,20,68,962.4,1898.83,NA,0,,,
HSC,1,4,3,26,197,3457.41,2785.98,NA,13784,WarBirds,77,Diamond
HSD,2,3,2,13,101,2650,1355.33,NA,19,39th Street Killers,91,Diamond
HSE,6,3,2,13,56,3515.88,488.45,NA,0,,,
HSF,6,3,2,16,56,3541.67,412.11,NA,49953,BoW - 4.20,31,Platinum
HSG,5,3,3,20,101,5166.22,747.75,NA,0,,,
HTB,7,2,2,8,38,395.33,520.33,NA,0,,,
HTC,1,4,2,27,131,3148.99,3061.78,NA,0,,,
HTD,2,3,2,16,101,3198,1386.56,NS,40992,Medic!!,97,Diamond
HTE,7,1,2,5,30,6046.83,1688.45,NA,0,,,
HTF,7,4,1,27,26,4807.06,216,NA,0,,,
HTG,4,3,2,15,79,4821,3078.67,NA,6974,Onion Smugglers,98,Platinum
HUB,7,4,1,27,26,248.13,303.34,NA,18597,The Collective Resistance,94,Bronze
HUC,1,2,2,9,94,3036.65,2913.56,NA,0,,,
HUD,2,4,2,29,118,3517.67,1465,Crypto,0,,,
HUE,1,2,2,8,94,2625.5,1652.04,NS,16282,Nuclear Winter,99,Diamond
HUF,7,2,2,10,38,2106.67,262.33,Westworld,0,,,
HUG,3,4,2,25,105,4655.63,2419,NA,7197,HeLa,86,Unranked
HVB,7,3,1,19,23,131.47,38.44,NA,0,,,
HVC,7,3,1,23,23,2695.63,130.43,NA,9953,The Drunk Tank,64,Platinum
HVD,2,4,2,25,118,3383,1504.33,NA,0,,,
HVE,3,4,2,26,105,3130.92,1322.92,Westworld,42125,ODB,95,Diamond
HVF,7,3,1,21,23,5319.97,193.8,NA,22887,Resilience,99,Platinum
HVG,2,3,2,14,101,4168.67,2616,NA,0,,,
HWB,5,3,2,22,68,1073.33,3028.69,NA,0,,,
HWC,6,5,2,29,75,4906.22,349.37,NA,27312,SA Succession,100,Diamond
HWD,2,2,2,8,84,3954.67,1505,NA,10960,Wolverines Health Org,72,Unranked
HWE,3,4,2,25,105,1966,1905.67,NA,0,,,
HWF,3,3,1,13,45,2995.4,1072.38,Crypto,14052,NPO - Serenity,54,Bronze
HWG,4,2,2,11,66,4843,2789.33,NA,0,,,
HXB,5,1,1,6,23,939.38,2979.88,NA,0,,,
HXC,6,3,1,24,28,3080.41,455.19,NA,0,,,
HXD,2,2,2,8,84,3060,1524.33,NA,42263,Happy Vegemites,57,Silver
HXE,4,3,2,20,79,1297.33,1973.61,NA,0,,,
HXF,5,3,1,15,34,1037.33,888.54,NA,0,,,
HXG,5,2,2,6,56,5259.33,2431,NA,937,Sport Club,101,Platinum
HYB,5,2,2,6,56,855.33,2542.67,NA,39549,Good Guys,50,Gold
HYC,6,3,2,14,56,4475.67,440,NA,0,,,
HYD,2,2,2,6,84,2287,1580,NA,0,,,
HYE,3,3,2,16,90,1615.58,1709.17,Westworld,8384,Savage Plague,67,Platinum
HYF,6,4,1,26,33,5784.69,377.14,NA,0,,,
HYG,5,3,2,18,68,5427.67,2539.33,NA,8317,Naughty Souls,80,Diamond
HZB,4,3,2,19,79,1285.55,2683.5,Westworld,0,,,
HZC,5,2,2,8,56,2910,545.71,NA,35776,IA Black,50,Platinum
HZD,4,3,2,23,79,4964.67,1652.67,NA,0,,,
HZE,2,2,2,8,84,3901,1493.67,NA,0,,,
HZF,7,4,1,29,26,6088.15,347.63,NA,9503,TSFTS Microbrewery,37,Platinum
HZG,6,3,2,16,56,5810.5,2723.66,NA,0,,,
IAA,7,3,2,23,45,218.83,597,NA,6895,Iron Rose Cartel,73,Gold
IAB,4,3,1,21,39,1279.42,2404.75,NA,0,,,
IAC,5,2,1,9,28,3049.75,617.33,NA,35776,IA Black,50,Platinum
IAD,6,3,2,16,56,5834.67,1674.13,NA,41775,PT-Torntuga,26,Platinum
IAE,5,1,2,5,45,5059.75,1545.63,NA,0,,,
IAF,6,3,1,14,28,752.42,1685.96,JFK,0,,,
IAG,3,4,2,24,105,4362.64,2661.4,NA,0,,,
IBA,5,4,2,24,79,1127.67,728.67,NA,8766,FLUX,100,Bronze
IBB,6,4,1,26,33,448.67,1453,NA,42685,WarDogs Outpost,39,Platinum
IBC,5,3,2,12,68,3417.33,693.34,NA,0,,,
IBD,7,2,2,7,38,5889.33,1701.46,NA,26043,War Crimes,19,Platinum
IBE,4,5,3,30,158,4993.86,1821.92,Crypto,18569,Romania Elite Kommando,93,Diamond
IBF,5,4,2,25,79,946.14,2578.39,NA,0,,,
ICA,4,2,2,11,66,1316.33,800.67,Westworld,0,,,
ICB,7,3,1,20,23,138.67,1780.21,NA,8677,Mana,35,Platinum
ICC,4,4,2,28,92,4969.67,806,NA,0,,,
ICD,7,3,2,20,45,6085,1769.66,NA,0,,,
ICE,4,3,2,21,79,1229.15,1524.72,Westworld,7969,WIT-Premier,94,Diamond
ICF,2,3,2,16,101,3914.25,2110.83,NA,8706,Carbon,97,Diamond
ICG,5,3,2,12,68,845.33,1177,Westworld,16040,Winter is Coming,83,Platinum
IDA,6,2,2,8,47,689.33,1207.69,NA,0,,,
